Object Tracking Data File Thu, Nov 23, 2023 8:21 AM
X (pixels)  	Y (pixels)  
1165.45	188.30
1166.51	190.50
1166.31	194.44
1170.37	195.40
1174.25	194.95
1172.01	199.05
1170.67	205.14
1170.81	207.49
1173.73	204.02
1175.12	203.24
1179.87	199.12
1182.33	198.82
1185.90	199.28
1191.88	201.19
1190.52	202.57
1193.04	196.53
1189.04	196.72
1193.09	195.70
1189.62	198.16
1194.15	197.05
1192.28	198.19
1194.25	196.61
1194.83	199.82
1195.67	203.94
1196.00	209.05
1194.27	207.45
1194.22	207.97
1196.26	204.24
1199.87	205.66
1204.44	208.45
1204.38	212.04
1206.45	210.90
1206.68	213.36
1210.11	209.98
1207.05	214.71
1204.64	222.05
1207.79	229.69
1211.84	236.18
1209.87	233.54
1219.47	226.59
1218.65	230.03
1222.46	227.30
1224.66	230.95
1222.76	229.16
1224.16	234.97
1215.23	238.34
1219.80	234.34
1222.98	232.75
1217.38	235.04
1214.38	231.07
1218.24	235.74
1218.12	238.67
1220.63	236.51
1215.22	239.80
1215.81	243.80
1213.36	249.05
1212.22	247.67
1207.16	246.43
1202.61	245.03
1201.69	246.08
1201.02	245.10
1200.95	241.09
1203.08	245.18
1204.43	252.29
1200.59	250.31
1198.62	248.59
1200.88	255.48
1203.17	258.72
1207.07	255.56
1212.09	258.95
1214.45	259.85
1204.18	265.24
1200.19	271.65
1203.08	279.06
1201.68	270.99
1202.28	265.55
1200.11	265.63
1206.71	263.90
1209.34	262.43
1204.20	260.19
1205.47	258.08
1202.55	255.66
1205.56	255.73
1205.45	259.53
1202.01	255.35
1206.29	252.80
1205.41	250.10
1206.05	253.46
1210.48	249.66
1209.80	255.13
1217.40	247.35
1209.13	245.43
1213.92	246.11
1218.04	245.37
1220.75	246.08
1218.89	242.29
1224.63	244.24
1231.06	246.20
1227.56	250.87
1223.82	247.17
1228.04	250.39
1223.82	255.58
1217.25	252.79
1209.88	253.43
1214.33	249.56
1211.99	246.11
1221.22	248.64
1225.73	247.04
1221.63	250.85
1226.35	249.80
1223.83	246.28
1222.16	244.85
1224.16	248.47
1219.85	251.50
1222.47	251.17
1223.54	253.25
1231.22	251.02
1227.70	253.04
1225.12	253.36
1227.97	249.56
